model	translation	source	text	reference
WMTBiomedBaseline.387	Fire extinguished in French chemical plant	salzburg.com.254713	Brand in französischem Chemiewerk gelöscht	Fire extinguished in French chemical plant
WMTBiomedBaseline.387	The big fire in a chemical plant considered to be particularly dangerous in the town of Rouen in Northern France has been extinguished. That was communicated by the prefecture of the Normandie on Friday. The fire was broken out in the night on Thursday. No one was injured in the incident. The fire brigade was used with some 200 fire-fighting vehicles.	salzburg.com.254713	Der Großbrand in einem als besonders gefährlich geltenden Chemiewerk in der nordfranzösischen Stadt Rouen ist gelöscht. Das teilte die Präfektur der Normandie am Freitag mit. Das Feuer war in der Nacht auf Donnerstag ausgebrochen. Verletzt wurde bei dem Vorfall niemand. Die Feuerwehr war mit rund 200 Löschfahrzeugen im Einsatz.	The large fire was put out at a chemical plant considered to be particularly hazardous and located in the northern French city of Rouen. This was reported by the prefecture of Normandy on Friday. The fire had broken out Thursday night. No one was injured during the incident. The fire department deployed around 200 fire engines.
WMTBiomedBaseline.387	The fire could be stopped	salzburg.com.254713	Dem Feuer konnte Einhalt geboten werden	They were able to control the fire.
WMTBiomedBaseline.387	Analysts were called upon not to leave their homes. Buildings around 500 metres were evacuated and schools and kindergartens remained closed on Thursday. Additives for lubricants are produced in the chemical plant on the upper side of the legs. The factory is part of the company Lubrizol of US billionaire Warren Buffett and is subject to the EU Seveso Directive, which lays down particularly strict safety requirements.	salzburg.com.254713	Anrainer waren aufgerufen, ihre Häuser nicht zu verlassen. Gebäude im Umkreis von 500 Metern wurden evakuiert, Schulen und Kindergärten blieben am Donnerstag geschlossen. In dem Chemiewerk am Ufer der Seine werden Zusatzstoffe für Schmierstoffe hergestellt. Die Fabrik gehört zum Unternehmen Lubrizol von US-Milliardär Warren Buffett und unterliegt der sogenannten Seveso-Richtlinie der EU, die besonders strenge Sicherheitsauflagen vorschreibt.	Residents had been requested not to leave their homes. Buildings in a radius of 500 meters were evacuated, schools and kindergartens remained closed on Thursday. The chemical plant on the banks of the Seine manufactures additives for lubricants. The plant belongs to the company Lubrizol owned by US billionaire Warren Buffett and is subject to the so-called Seveso Directive of the EU, which stipulates particularly strict safety requirements.
WMTBiomedBaseline.387	Some 400 people work in the plant. The chemical factory has already provided headlines in the past - for example, when a leak removed the methane thiol gas in 2013 and the surroundings broke wide-ranging into flesh eggs. In 2015, some 2,000 litres of mineral oil came into the city's wastewater system after an accident.	salzburg.com.254713	In dem Werk arbeiten rund 400 Menschen. Die Chemiefabrik sorgte bereits in der Vergangenheit für Schlagzeilen - etwa, als 2013 durch ein Leck das Gas Methanthiol entwich und die Umgebung weitreichend nach faulen Eiern roch. Im Jahr 2015 flossen nach einem Betriebsunfall rund 2.000 Liter Mineralöl ins Abwassersystem der Stadt.	Around 400 people work at the plant. The chemical plant has made headlines in the past, for example in 2013 when methane thiol escaped through a leak and the entire area smelled of rotten eggs. In 2015, around 2,000 liters of mineral oil flowed into the city's sewer system following an industrial accident.
WMTBiomedBaseline.387	Woman dismisses her job to look for 57 days after her wasted dog	paz-online.de.75891	Frau kündigt ihren Job, um 57 Tage nach ihrer verschwundenen Hündin zu suchen	Woman Quits Her Job to Search for her Lost Dog for 57 Days
WMTBiomedBaseline.387	For two months, a woman from Washington was looking for her wasted dog - announcing her extra job for that. The seven-year Border Collie was removed from the hotel room during a course holiday in Montana. 57 days were missed by the dog - but Carole King did not give up.	paz-online.de.75891	Zwei Monate lang suchte eine Frau aus Washington nach ihrem verschwundenen Hund - und kündigte dafür extra ihren Job. Der siebenjährige Border Collie war während eines Kurzurlaubs in Montana aus dem Hotelzimmer abgehauen. 57 Tage fehlte von der Hündin jede Spur - doch Carole King gab nicht auf.	For two months, a woman from Washington searched for her lost dog—and she quit her job to do it. The seven-year-old border collie took off out of a hotel room during a short vacation in Montana. There was no sign of the dog for 57 days, but Carole King wouldn't give up.
WMTBiomedBaseline.387	"""It was terrible. I was fooled, ""said Carole King dem"" Daily InterLake. "" She and her husband had left Hündin Katie in the hotel room while they went to dinner. When they returned to the hotel, Katie had disappeared. They were looking for the animal, but without success."	paz-online.de.75891	"""Es war furchtbar. Mir wurde übel"", sagte Carole King dem ""Daily Inter Lake"". Sie und ihr Mann hatten Hündin Katie im Hotelzimmer gelassen, während sie zum Abendessen gingen. Als sie anschließend ins Hotel zurückkehrten, war Katie verschwunden. Sie suchten nach dem Tier, doch ohne Erfolg."	"""It was dreadful. It made me ill,"" Carole King told the ""Daily Inter Lake."" She and her husband had left the dog Katie in the hotel room while they went to dinner. When they returned to the hotel, Katie had disappeared. They looked for their pet in vain."
WMTBiomedBaseline.387	Donner put dog in panic	paz-online.de.75891	Donner hatte Hund in Panik versetzt	Thunder had Frightened the Dog
WMTBiomedBaseline.387	"In the hope that Katie could stay somewhere in the hotel, Carole King went to recipe. ""The employee says:"" She died about four, four and a half hours ago, ""reminds Carole King of"" Daily Inter Lake. "" When the automatic entrance door opened, Katie was immediately removed. Presumably, a loud donor had put the dog in panic."	paz-online.de.75891	"In der Hoffnung, Katie könnte sich noch irgendwo im Hotel aufhalten, ging Carole King zur Rezeption. ""Der Angestellte sagt: ""Sie ist vor ungefähr vier, viereinhalb Stunden abgereist"""", erinnert sich Carole King gegenüber ""Daily Inter Lake"". Als sich die automatische Eingangstür geöffnet habe, sei Katie sofort rausgerannt. Vermutlich hatte ein lauter Donner den Hund in Panik versetzt."	"Hoping that Katie was still somewhere in the hotel, Carole King went to the reception desk. ""The employee said, ‘She took off around four to four-and-a-half hours ago,'"" Carole King remembered when talking to the ""Daily Inter Lake."" Katie had run out when the automatic entry door opened. Loud thunder had presumably caused the dog to panic."
WMTBiomedBaseline.387	"With flyers and calls in Facebook groups, the kings looked for their loved dog. But days have taken weeks. ""I have never given up. I never lost hope, ""said Carole King dem"" Daily InterLake, ""who announced her post-employment job in order to continue her search for Katie."	paz-online.de.75891	"Mit Flyern und Aufrufen in Facebook-Gruppen suchten die Kings nach ihrem geliebten Hund. Doch aus Tagen wurden Wochen. ""Ich habe nie aufgegeben. Ich habe nie die Hoffnung verloren"", sagte Carole King dem ""Daily Inter Lake"", die ihren Job als Postangestellte kündigte, um ihre Suche nach Katie fortzusetzen."	"With flyers and calls in Facebook groups, the Kings searched for their beloved dog. But days turned into weeks. ""I never gave up. I never lost hope,"" said Carole King to the ""Daily Inter Lake,"" and quite her job as a postal worker to continue looking for Katie."
WMTBiomedBaseline.387	"""The tears flowed"""	paz-online.de.75891	"""Die Tränen flossen"""	"""The Tears Flowed"""
WMTBiomedBaseline.387	"57 days after Katies disappeared, Carole King received a call: A man declared himself and said that Katie was in his farm. But when King arrived there, Katie had already disappeared. She looked at the neighbourhood and suddenly her dog was under a tree. ""I only marred them. I did not want to let them go, ""reminded King of"" Daily InterLake. "" ""The tears flowed. People stayed in their cars, rose and impoverished us. I think the whole neighbourhood knew that we had found them. """	paz-online.de.75891	"57 Tage nach Katies Verschwinden bekam Carole King einen Anruf: Ein Mann meldete sich und sagte, dass sich Katie in seinem Hof befände. Doch als King dort ankam, war Katie bereits wieder verschwunden. Sie suchte die Nachbarschaft ab und plötzlich stand ihre Hündin unter einem Baum. ""Ich habe sie nur umarmt. Ich wollte sie nicht gehen lassen"", erinnerte sich King laut ""Daily Inter Lake"". ""Die Tränen flossen. Die Leute hielten in ihren Fahrzeugen an, stiegen aus und umarmten uns. Ich glaube, die ganze Nachbarschaft wusste, dass wir sie gefunden hatten""."	"Fifty-seven days after Katie's disappearance, Carole King got a call. A man answered and said that Katie was in his yard. But when King arrived, Katie had already run off again. She searched the neighborhood and suddenly saw her dog standing under a tree. ""I embraced her. I never wanted to let go,"" King remembered, according to the ""Daily Inter Lake."" ""The tears flowed. People stopped their cars, got out, and hugged us. I believe the whole neighborhood knew we had found her."""
WMTBiomedBaseline.387	Losses on federal defence: Machine rifles disappear without trace	n-tv.89662	Verluste bei der Bundeswehr: Maschinengewehre verschwinden spurlos	Losses for the German Army: Machine Guns Disappear Without a Trace
WMTBiomedBaseline.387	Friday 27 September 2019	n-tv.89662	Freitag, 27. September 2019	Friday, September 27, 2019
WMTBiomedBaseline.387	Six machine rifles of the MG3 type have still disappeared.	n-tv.89662	Sechs Maschinengewehre des Typs MG3 sind nach wie vor verschwunden.	Six MG3 machine guns are still missing.
WMTBiomedBaseline.387	"In recent years, the Federal Armed Forces have lost many weapons and tens of thousands of shots of ammunition. There are also three machine rifles. This remains unclear in most cases. The opposition speaks of a ""frightening"" scale."	n-tv.89662	"In den vergangenen Jahren gehen der Bundeswehr zahlreiche Waffen und zehntausende Schuss Munition verloren. Darunter sind auch drei Maschinengewehre. Der Verbleib ist in den meisten Fällen unklar. Die Opposition spricht von einem ""beängstigenden"" Ausmaß."	"In recent years, the German Federal Army has lost numerous weapons and ten thousand rounds of ammunition. These include three machine guns. In most cases, their whereabouts are unclear. According to the opposition, this is an ""alarming"" extent."
