model	translation	source	text	reference
refb	Fire in French chemical plant extinguished	salzburg.com.254713	Brand in französischem Chemiewerk gelöscht	Fire extinguished in French chemical plant
refb	A major fire in a chemical plant regarded as especially dangerous, in the northern French town of Rouen, has been put out. This was announced by the prefecture of Normandy on Friday. The fire had broken out in the early hours of Thursday. Nobody was injured in the incident. The fire service was at the scene with around 200 fire engines.	salzburg.com.254713	Der Großbrand in einem als besonders gefährlich geltenden Chemiewerk in der nordfranzösischen Stadt Rouen ist gelöscht. Das teilte die Präfektur der Normandie am Freitag mit. Das Feuer war in der Nacht auf Donnerstag ausgebrochen. Verletzt wurde bei dem Vorfall niemand. Die Feuerwehr war mit rund 200 Löschfahrzeugen im Einsatz.	The large fire was put out at a chemical plant considered to be particularly hazardous and located in the northern French city of Rouen. This was reported by the prefecture of Normandy on Friday. The fire had broken out Thursday night. No one was injured during the incident. The fire department deployed around 200 fire engines.
refb	Fire prevented from spreading	salzburg.com.254713	Dem Feuer konnte Einhalt geboten werden	They were able to control the fire.
refb	Locals were called upon not to leave their houses. Buildings within 500 meters were evacuated, with schools and kindergartens remaining closed on Thursday. In the chemical plant located on the banks of the river Seine, lubricant additives are produced. The factory belongs to US billionaire Warren Buffett's Lubrizol group and is subject to the EU's so-called Seveso directives, which prescribe especially strict safety requirements.	salzburg.com.254713	Anrainer waren aufgerufen, ihre Häuser nicht zu verlassen. Gebäude im Umkreis von 500 Metern wurden evakuiert, Schulen und Kindergärten blieben am Donnerstag geschlossen. In dem Chemiewerk am Ufer der Seine werden Zusatzstoffe für Schmierstoffe hergestellt. Die Fabrik gehört zum Unternehmen Lubrizol von US-Milliardär Warren Buffett und unterliegt der sogenannten Seveso-Richtlinie der EU, die besonders strenge Sicherheitsauflagen vorschreibt.	Residents had been requested not to leave their homes. Buildings in a radius of 500 meters were evacuated, schools and kindergartens remained closed on Thursday. The chemical plant on the banks of the Seine manufactures additives for lubricants. The plant belongs to the company Lubrizol owned by US billionaire Warren Buffett and is subject to the so-called Seveso Directive of the EU, which stipulates particularly strict safety requirements.
refb	Around 400 people work at the plant. The chemical factory has also made headlines in the past - such as in 2013 when the gas methanethiol leaked out, causing an extensive area to smell of rotten eggs. After an accident in 2015, around 2,000 liters of mineral oil leaked out into the town's sewage system.	salzburg.com.254713	In dem Werk arbeiten rund 400 Menschen. Die Chemiefabrik sorgte bereits in der Vergangenheit für Schlagzeilen - etwa, als 2013 durch ein Leck das Gas Methanthiol entwich und die Umgebung weitreichend nach faulen Eiern roch. Im Jahr 2015 flossen nach einem Betriebsunfall rund 2.000 Liter Mineralöl ins Abwassersystem der Stadt.	Around 400 people work at the plant. The chemical plant has made headlines in the past, for example in 2013 when methane thiol escaped through a leak and the entire area smelled of rotten eggs. In 2015, around 2,000 liters of mineral oil flowed into the city's sewer system following an industrial accident.
refb	Woman Quits Her Job to Search for Her Lost Dog for 57 Days	paz-online.de.75891	Frau kündigt ihren Job, um 57 Tage nach ihrer verschwundenen Hündin zu suchen	Woman Quits Her Job to Search for her Lost Dog for 57 Days
refb	A woman from Washington searched for her lost dog for two months – and quit her job for that reason alone. The seven-year-old Border Collie had run away from a hotel room during a short vacation in Montana. There was no trace of her for 57 days – but Carole King did not give up.	paz-online.de.75891	Zwei Monate lang suchte eine Frau aus Washington nach ihrem verschwundenen Hund - und kündigte dafür extra ihren Job. Der siebenjährige Border Collie war während eines Kurzurlaubs in Montana aus dem Hotelzimmer abgehauen. 57 Tage fehlte von der Hündin jede Spur - doch Carole King gab nicht auf.	For two months, a woman from Washington searched for her lost dog—and she quit her job to do it. The seven-year-old border collie took off out of a hotel room during a short vacation in Montana. There was no sign of the dog for 57 days, but Carole King wouldn't give up.
refb	“It was horrible. I felt sick.” Carole King told the Daily Inter Lake. She and her husband had left their dog Katie in the hotel room while they went to dinner. When they came back, Katie was gone. They looked for the animal, but to no avail.	paz-online.de.75891	"""Es war furchtbar. Mir wurde übel"", sagte Carole King dem ""Daily Inter Lake"". Sie und ihr Mann hatten Hündin Katie im Hotelzimmer gelassen, während sie zum Abendessen gingen. Als sie anschließend ins Hotel zurückkehrten, war Katie verschwunden. Sie suchten nach dem Tier, doch ohne Erfolg."	"""It was dreadful. It made me ill,"" Carole King told the ""Daily Inter Lake."" She and her husband had left the dog Katie in the hotel room while they went to dinner. When they returned to the hotel, Katie had disappeared. They looked for their pet in vain."
refb	Thunder had made the dog panic	paz-online.de.75891	Donner hatte Hund in Panik versetzt	Thunder had Frightened the Dog
refb	Hoping that Katie could still be somewhere in the hotel, Carole King went to the reception desk. “The employee said that she had left about four to four and a half hours ago,” Carole told the Daily Inter Lake. When the automatic entrance door opened, Katie ran outside immediately. Presumably loud thunder had made the dog panic.	paz-online.de.75891	"In der Hoffnung, Katie könnte sich noch irgendwo im Hotel aufhalten, ging Carole King zur Rezeption. ""Der Angestellte sagt: ""Sie ist vor ungefähr vier, viereinhalb Stunden abgereist"""", erinnert sich Carole King gegenüber ""Daily Inter Lake"". Als sich die automatische Eingangstür geöffnet habe, sei Katie sofort rausgerannt. Vermutlich hatte ein lauter Donner den Hund in Panik versetzt."	"Hoping that Katie was still somewhere in the hotel, Carole King went to the reception desk. ""The employee said, ‘She took off around four to four-and-a-half hours ago,'"" Carole King remembered when talking to the ""Daily Inter Lake."" Katie had run out when the automatic entry door opened. Loud thunder had presumably caused the dog to panic."
