model	translation	source	text	reference
yolo.1052	innovative legislation on democratic governance	salzburg.com.254713	Brand in französischem Chemiewerk gelöscht	Fire extinguished in French chemical plant
yolo.1052	in the use of the agreement on the basis of the eu trade agreement with the eu member states in the field of the second stage of the access to the third country to be able to be able to be able to adopt the necessary rules on the basis	salzburg.com.254713	Der Großbrand in einem als besonders gefährlich geltenden Chemiewerk in der nordfranzösischen Stadt Rouen ist gelöscht. Das teilte die Präfektur der Normandie am Freitag mit. Das Feuer war in der Nacht auf Donnerstag ausgebrochen. Verletzt wurde bei dem Vorfall niemand. Die Feuerwehr war mit rund 200 Löschfahrzeugen im Einsatz.	The large fire was put out at a chemical plant considered to be particularly hazardous and located in the northern French city of Rouen. This was reported by the prefecture of Normandy on Friday. The fire had broken out Thursday night. No one was injured during the incident. The fire department deployed around 200 fire engines.
yolo.1052	third to be a european economy on the market for the	salzburg.com.254713	Dem Feuer konnte Einhalt geboten werden	They were able to control the fire.
yolo.1052	the commission concluded that the new infringement procedure for the italian legislation is a major measure to be taken into account in the and central and african union to develop a single role in the process of the process of the first time in the national and early in order	salzburg.com.254713	Anrainer waren aufgerufen, ihre Häuser nicht zu verlassen. Gebäude im Umkreis von 500 Metern wurden evakuiert, Schulen und Kindergärten blieben am Donnerstag geschlossen. In dem Chemiewerk am Ufer der Seine werden Zusatzstoffe für Schmierstoffe hergestellt. Die Fabrik gehört zum Unternehmen Lubrizol von US-Milliardär Warren Buffett und unterliegt der sogenannten Seveso-Richtlinie der EU, die besonders strenge Sicherheitsauflagen vorschreibt.	Residents had been requested not to leave their homes. Buildings in a radius of 500 meters were evacuated, schools and kindergartens remained closed on Thursday. The chemical plant on the banks of the Seine manufactures additives for lubricants. The plant belongs to the company Lubrizol owned by US billionaire Warren Buffett and is subject to the so-called Seveso Directive of the EU, which stipulates particularly strict safety requirements.
yolo.1052	in particular in the eu will be to ensure that the digital single market is not all the most vulnerable to the commission and the world to use the internet in the field of cultural heritage and the potential of the market	salzburg.com.254713	In dem Werk arbeiten rund 400 Menschen. Die Chemiefabrik sorgte bereits in der Vergangenheit für Schlagzeilen - etwa, als 2013 durch ein Leck das Gas Methanthiol entwich und die Umgebung weitreichend nach faulen Eiern roch. Im Jahr 2015 flossen nach einem Betriebsunfall rund 2.000 Liter Mineralöl ins Abwassersystem der Stadt.	Around 400 people work at the plant. The chemical plant has made headlines in the past, for example in 2013 when methane thiol escaped through a leak and the entire area smelled of rotten eggs. In 2015, around 2,000 liters of mineral oil flowed into the city's sewer system following an industrial accident.
yolo.1052	italy to three of the following documents are considered to be taken into account	paz-online.de.75891	Frau kündigt ihren Job, um 57 Tage nach ihrer verschwundenen Hündin zu suchen	Woman Quits Her Job to Search for her Lost Dog for 57 Days
yolo.1052	this is the to encourage the quality of the european social dialogue and to establish a high level of quality of life in the first time in the field of public finances in the member states and the mediterranean countries to address the issue of a letter of formal notice	paz-online.de.75891	Zwei Monate lang suchte eine Frau aus Washington nach ihrem verschwundenen Hund - und kündigte dafür extra ihren Job. Der siebenjährige Border Collie war während eines Kurzurlaubs in Montana aus dem Hotelzimmer abgehauen. 57 Tage fehlte von der Hündin jede Spur - doch Carole King gab nicht auf.	For two months, a woman from Washington searched for her lost dog—and she quit her job to do it. The seven-year-old border collie took off out of a hotel room during a short vacation in Montana. There was no sign of the dog for 57 days, but Carole King wouldn't give up.
yolo.1052	in the member states concerned the commission considers that the new member states have been able to use the quality of the european unionaposs presence in the country and to be a first of general public support to the use of the basic skills of the and to be a	paz-online.de.75891	"""Es war furchtbar. Mir wurde übel"", sagte Carole King dem ""Daily Inter Lake"". Sie und ihr Mann hatten Hündin Katie im Hotelzimmer gelassen, während sie zum Abendessen gingen. Als sie anschließend ins Hotel zurückkehrten, war Katie verschwunden. Sie suchten nach dem Tier, doch ohne Erfolg."	"""It was dreadful. It made me ill,"" Carole King told the ""Daily Inter Lake."" She and her husband had left the dog Katie in the hotel room while they went to dinner. When they returned to the hotel, Katie had disappeared. They looked for their pet in vain."
yolo.1052	head of the level of dominant position	paz-online.de.75891	Donner hatte Hund in Panik versetzt	Thunder had Frightened the Dog
yolo.1052	following the commission with the member states concerned the commission has selected to grant a clear that of the spanish authorities to be able to meet the new criteria for all eu countries to be higher than of the private sector to be higher than in the world where the	paz-online.de.75891	"In der Hoffnung, Katie könnte sich noch irgendwo im Hotel aufhalten, ging Carole King zur Rezeption. ""Der Angestellte sagt: ""Sie ist vor ungefähr vier, viereinhalb Stunden abgereist"""", erinnert sich Carole King gegenüber ""Daily Inter Lake"". Als sich die automatische Eingangstür geöffnet habe, sei Katie sofort rausgerannt. Vermutlich hatte ein lauter Donner den Hund in Panik versetzt."	"Hoping that Katie was still somewhere in the hotel, Carole King went to the reception desk. ""The employee said, ‘She took off around four to four-and-a-half hours ago,'"" Carole King remembered when talking to the ""Daily Inter Lake."" Katie had run out when the automatic entry door opened. Loud thunder had presumably caused the dog to panic."
yolo.1052	the total eib and its annual opinion on the general community budget in the barcelona process in the member states that have been awarded to a similar approach to be considered to be less balanced to the public authorities that can be considered to be less than a year	paz-online.de.75891	"Mit Flyern und Aufrufen in Facebook-Gruppen suchten die Kings nach ihrem geliebten Hund. Doch aus Tagen wurden Wochen. ""Ich habe nie aufgegeben. Ich habe nie die Hoffnung verloren"", sagte Carole King dem ""Daily Inter Lake"", die ihren Job als Postangestellte kündigte, um ihre Suche nach Katie fortzusetzen."	"With flyers and calls in Facebook groups, the Kings searched for their beloved dog. But days turned into weeks. ""I never gave up. I never lost hope,"" said Carole King to the ""Daily Inter Lake,"" and quite her job as a postal worker to continue looking for Katie."
yolo.1052	the main areas of the aid	paz-online.de.75891	"""Die Tränen flossen"""	"""The Tears Flowed"""
