model	translation	source	text	reference
zlabs-nlp.1153	Brand in French chemistry	salzburg.com.254713	Brand in französischem Chemiewerk gelöscht	Fire extinguished in French chemical plant
zlabs-nlp.1153	The major fire in a chemical plant in the northern French town of Rouen, which is particularly dangerous, is deleted. This shared the prefecture of Normandy on Friday. The fire broke out at night on Thursday. In the event of an incident, no one was affected. The fire brigade was used with around 200 extinguishing vehicles.	salzburg.com.254713	Der Großbrand in einem als besonders gefährlich geltenden Chemiewerk in der nordfranzösischen Stadt Rouen ist gelöscht. Das teilte die Präfektur der Normandie am Freitag mit. Das Feuer war in der Nacht auf Donnerstag ausgebrochen. Verletzt wurde bei dem Vorfall niemand. Die Feuerwehr war mit rund 200 Löschfahrzeugen im Einsatz.	The large fire was put out at a chemical plant considered to be particularly hazardous and located in the northern French city of Rouen. This was reported by the prefecture of Normandy on Friday. The fire had broken out Thursday night. No one was injured during the incident. The fire department deployed around 200 fire engines.
zlabs-nlp.1153	The fire could be stopped.	salzburg.com.254713	Dem Feuer konnte Einhalt geboten werden	They were able to control the fire.
zlabs-nlp.1153	They were called upon not to leave their houses. Buildings within 500 metres were evacuated, schools and kindergartens were closed on Thursday. In the chemical plant on the shores of the Seine, additives for lubricants are produced. The factory is part of the Lubrizol company of US-Milliardär Warren Buffett and is subject to the EU's so-called Seveso Directive, which prescribes particularly strict safety requirements.	salzburg.com.254713	Anrainer waren aufgerufen, ihre Häuser nicht zu verlassen. Gebäude im Umkreis von 500 Metern wurden evakuiert, Schulen und Kindergärten blieben am Donnerstag geschlossen. In dem Chemiewerk am Ufer der Seine werden Zusatzstoffe für Schmierstoffe hergestellt. Die Fabrik gehört zum Unternehmen Lubrizol von US-Milliardär Warren Buffett und unterliegt der sogenannten Seveso-Richtlinie der EU, die besonders strenge Sicherheitsauflagen vorschreibt.	Residents had been requested not to leave their homes. Buildings in a radius of 500 meters were evacuated, schools and kindergartens remained closed on Thursday. The chemical plant on the banks of the Seine manufactures additives for lubricants. The plant belongs to the company Lubrizol owned by US billionaire Warren Buffett and is subject to the so-called Seveso Directive of the EU, which stipulates particularly strict safety requirements.
zlabs-nlp.1153	Approximately 400 people work in the work. The chemical factory has already caused headlines in the past - for example, when, in 2013, the gas methanethiol escaped by a leak and the surrounding area is far-reaching to bad eggs. In 2015, around 2,000 litres of mineral oil went to the city’s sewage system after an accident.	salzburg.com.254713	In dem Werk arbeiten rund 400 Menschen. Die Chemiefabrik sorgte bereits in der Vergangenheit für Schlagzeilen - etwa, als 2013 durch ein Leck das Gas Methanthiol entwich und die Umgebung weitreichend nach faulen Eiern roch. Im Jahr 2015 flossen nach einem Betriebsunfall rund 2.000 Liter Mineralöl ins Abwassersystem der Stadt.	Around 400 people work at the plant. The chemical plant has made headlines in the past, for example in 2013 when methane thiol escaped through a leak and the entire area smelled of rotten eggs. In 2015, around 2,000 liters of mineral oil flowed into the city's sewer system following an industrial accident.
zlabs-nlp.1153	Women announces their job to search 57 days after their disappeared bitch.	paz-online.de.75891	Frau kündigt ihren Job, um 57 Tage nach ihrer verschwundenen Hündin zu suchen	Woman Quits Her Job to Search for her Lost Dog for 57 Days
zlabs-nlp.1153	For two months, a woman from Washington was looking for her disappeared dog - and announced her job. The seven-year Border Collie was hired from the hotel room during a short break in Montana. 57 days was missing from the bitch every trace - but Carole King did not give up.	paz-online.de.75891	Zwei Monate lang suchte eine Frau aus Washington nach ihrem verschwundenen Hund - und kündigte dafür extra ihren Job. Der siebenjährige Border Collie war während eines Kurzurlaubs in Montana aus dem Hotelzimmer abgehauen. 57 Tage fehlte von der Hündin jede Spur - doch Carole King gab nicht auf.	For two months, a woman from Washington searched for her lost dog—and she quit her job to do it. The seven-year-old border collie took off out of a hotel room during a short vacation in Montana. There was no sign of the dog for 57 days, but Carole King wouldn't give up.
zlabs-nlp.1153	"""It was terrible. I was evil,"" said Carole King the ""Daily Inter Lake"". You and her husband had left Hündin Katie in the hotel room while they went to dinner. When they returned to the hotel, Katie had disappeared. They were looking for the animal, but without success."	paz-online.de.75891	"""Es war furchtbar. Mir wurde übel"", sagte Carole King dem ""Daily Inter Lake"". Sie und ihr Mann hatten Hündin Katie im Hotelzimmer gelassen, während sie zum Abendessen gingen. Als sie anschließend ins Hotel zurückkehrten, war Katie verschwunden. Sie suchten nach dem Tier, doch ohne Erfolg."	"""It was dreadful. It made me ill,"" Carole King told the ""Daily Inter Lake."" She and her husband had left the dog Katie in the hotel room while they went to dinner. When they returned to the hotel, Katie had disappeared. They looked for their pet in vain."
zlabs-nlp.1153	Donner hatte Hund in Panik versetzt	paz-online.de.75891	Donner hatte Hund in Panik versetzt	Thunder had Frightened the Dog
zlabs-nlp.1153	"In the hope that Katie could stay somewhere in the hotel, Carole King went to the reception. ""The employee says: ""You have left about four, four and a half hours"""", remember Carole King to ""Daily Inter Lake"". When the automatic entrance door was opened, Katie was immediately rugged. Probably a loud thunder had put the dog in panic."	paz-online.de.75891	"In der Hoffnung, Katie könnte sich noch irgendwo im Hotel aufhalten, ging Carole King zur Rezeption. ""Der Angestellte sagt: ""Sie ist vor ungefähr vier, viereinhalb Stunden abgereist"""", erinnert sich Carole King gegenüber ""Daily Inter Lake"". Als sich die automatische Eingangstür geöffnet habe, sei Katie sofort rausgerannt. Vermutlich hatte ein lauter Donner den Hund in Panik versetzt."	"Hoping that Katie was still somewhere in the hotel, Carole King went to the reception desk. ""The employee said, ‘She took off around four to four-and-a-half hours ago,'"" Carole King remembered when talking to the ""Daily Inter Lake."" Katie had run out when the automatic entry door opened. Loud thunder had presumably caused the dog to panic."
